time,seasonalEstimate,close,MA50,MA_diff_50
1991-06-13 22:00:00+00:00,1.286979088313916,1.293,1.34784,-0.0021999999999999797
1991-06-16 22:00:00+00:00,1.3051661870595466,1.262,1.34508,-0.0027599999999998737
1991-06-17 22:00:00+00:00,1.2961033247859246,1.245,1.34208,-0.0030000000000001137
1991-06-18 22:00:00+00:00,1.2850677592042419,1.215,1.33856,-0.0035199999999999676
1991-06-19 22:00:00+00:00,1.2808447747121563,1.225,1.33554,-0.0030200000000000227
1991-06-20 22:00:00+00:00,1.2230874654491521,1.195,1.33194,-0.0036000000000000476
1991-06-23 22:00:00+00:00,1.2157205200691052,1.118,1.32678,-0.005159999999999831
1991-06-24 22:00:00+00:00,1.2131715799370633,1.123,1.3215999999999999,-0.0051800000000001845
1991-06-25 22:00:00+00:00,1.2055339146440485,1.142,1.3169199999999999,-0.0046800000000000175
1991-06-26 22:00:00+00:00,1.2114497736896472,1.182,1.3129999999999997,-0.003920000000000146
1991-06-27 22:00:00+00:00,1.1567577309659185,1.208,1.3096599999999998,-0.0033399999999998986
1991-06-30 22:00:00+00:00,1.1548139692320951,1.19,1.3063600000000002,-0.0032999999999996366
1991-07-01 22:00:00+00:00,1.150651027703332,1.171,1.30216,-0.004200000000000204
1991-07-02 22:00:00+00:00,1.1413592194186253,1.191,1.29818,-0.003980000000000095
1991-07-04 22:00:00+00:00,1.140881902902722,1.183,1.29424,-0.0039399999999998325
1991-07-07 22:00:00+00:00,1.1824600169457677,1.198,1.2906199999999999,-0.0036200000000001786
1991-07-08 22:00:00+00:00,1.1718991392016174,1.18,1.2868799999999998,-0.0037400000000000766
1991-07-09 22:00:00+00:00,1.1746422760460655,1.16,1.2826,-0.0042799999999998395
1991-07-10 22:00:00+00:00,1.1783912543740016,1.157,1.27824,-0.0043599999999999195
1991-07-11 22:00:00+00:00,1.1840244727511937,1.165,1.27402,-0.0042200000000001125
1991-07-14 22:00:00+00:00,1.134906587665478,1.169,1.2700799999999999,-0.003940000000000055
1991-07-15 22:00:00+00:00,1.1512597751229987,1.205,1.26706,-0.0030199999999998006
1991-07-16 22:00:00+00:00,1.1406970055487562,1.235,1.26462,-0.0024399999999999977
1991-07-17 22:00:00+00:00,1.145499037376605,1.25,1.26256,-0.002060000000000173
1991-07-18 22:00:00+00:00,1.1435976392860723,1.247,1.26056,-0.0020000000000000018
1991-07-21 22:00:00+00:00,1.232178690940344,1.22,1.25792,-0.0026399999999999757
1991-07-22 22:00:00+00:00,1.245994863658454,1.218,1.25528,-0.0026399999999999757
1991-07-23 22:00:00+00:00,1.2345008159001087,1.216,1.25262,-0.0026599999999998847
1991-07-24 22:00:00+00:00,1.241299969169859,1.245,1.25054,-0.002080000000000082
1991-07-25 22:00:00+00:00,1.246070051621178,1.238,1.2483,-0.0022400000000000198
1991-07-28 22:00:00+00:00,1.2548388209863817,1.225,1.2459,-0.0023999999999999577
1991-07-29 22:00:00+00:00,1.2251302184236839,1.238,1.2438,-0.0020999999999999908
1991-07-30 22:00:00+00:00,1.2465116871106332,1.26,1.2423600000000001,-0.0014399999999998858
1991-07-31 22:00:00+00:00,1.2256738716250395,1.255,1.24086,-0.0015000000000000568
1991-08-01 22:00:00+00:00,1.2239810910879438,1.26,1.23966,-0.0012000000000000899
1991-08-04 22:00:00+00:00,1.2597399741938573,1.275,1.2385599999999999,-0.001100000000000101
1991-08-05 22:00:00+00:00,1.2552534325861284,1.286,1.2375800000000001,-0.0009799999999997588
1991-08-06 22:00:00+00:00,1.2717011458827125,1.294,1.23684,-0.000740000000000185
1991-08-07 22:00:00+00:00,1.2705306893831256,1.293,1.23582,-0.0010200000000000209
1991-08-08 22:00:00+00:00,1.2935097550416463,1.288,1.23482,-0.0009999999999998899
1991-08-11 22:00:00+00:00,1.2999298825088015,1.289,1.23394,-0.0008799999999999919
1991-08-12 22:00:00+00:00,1.3055986686275456,1.287,1.23302,-0.0009200000000000319
1991-08-13 22:00:00+00:00,1.3068105663254723,1.283,1.2321,-0.0009200000000000319
1991-08-14 22:00:00+00:00,1.3215536621403075,1.288,1.23156,-0.0005399999999999849
1991-08-15 22:00:00+00:00,1.3334909556109078,1.278,1.23118,-0.00038000000000004697
1991-08-18 22:00:00+00:00,1.2591824837335213,1.294,1.2314,0.000220000000000109
1991-08-19 22:00:00+00:00,1.2484407758018154,1.293,1.23152,0.00011999999999989797
1991-08-20 22:00:00+00:00,1.251398026243686,1.312,1.23216,0.0006399999999999739
1991-08-21 22:00:00+00:00,1.2544439114160135,1.476,1.2362600000000001,0.004100000000000215
1991-08-22 22:00:00+00:00,1.2553050334051568,1.522,1.24084,0.0045799999999998064
1991-08-25 22:00:00+00:00,1.5162364955942382,1.593,1.24684,0.006000000000000005
1991-08-26 22:00:00+00:00,1.5351867442639537,1.576,1.25312,0.006280000000000063
1991-08-27 22:00:00+00:00,1.5144177682855895,1.578,1.25978,0.006659999999999888
1991-08-28 22:00:00+00:00,1.5201900152148902,1.571,1.2669000000000001,0.007120000000000237
1991-08-29 22:00:00+00:00,1.5207359499428186,1.564,1.2736800000000001,0.006780000000000008
1991-09-02 22:00:00+00:00,1.5791396280629308,1.556,1.2809,0.007219999999999782
1991-09-03 22:00:00+00:00,1.5775650446019145,1.568,1.2899,0.009000000000000119
1991-09-04 22:00:00+00:00,1.5739171946354127,1.593,1.2993000000000001,0.009400000000000075
1991-09-05 22:00:00+00:00,1.5668318377155388,1.617,1.3088,0.009499999999999842
1991-09-08 22:00:00+00:00,1.568656345241745,1.629,1.31774,0.008939999999999948
1991-09-09 22:00:00+00:00,1.637991615160891,1.683,1.32724,0.009500000000000064
1991-09-10 22:00:00+00:00,1.672868777882176,1.629,1.33602,0.00878000000000001
1991-09-11 22:00:00+00:00,1.6747258912736904,1.596,1.34452,0.008499999999999952
1991-09-12 22:00:00+00:00,1.6842753451467993,1.59,1.3525,0.007980000000000098
1991-09-15 22:00:00+00:00,1.6798743196884318,1.595,1.36074,0.008240000000000025
1991-09-16 22:00:00+00:00,1.6003962038189277,1.598,1.3687400000000003,0.00800000000000023
1991-09-17 22:00:00+00:00,1.5958716234259185,1.61,1.37734,0.008599999999999719
1991-09-18 22:00:00+00:00,1.5963508573437581,1.67,1.3875400000000002,0.010200000000000209
1991-09-19 22:00:00+00:00,1.6030693161364165,1.742,1.39924,0.011699999999999822
1991-09-22 22:00:00+00:00,1.615355415095851,1.919,1.4143199999999998,0.01507999999999976
1991-09-23 22:00:00+00:00,1.9478459784197795,1.889,1.4287200000000002,0.014400000000000412
1991-09-24 22:00:00+00:00,1.9421350162164022,1.899,1.4426,0.013879999999999892
1991-09-25 22:00:00+00:00,1.9268221184380363,1.918,1.45626,0.013660000000000005
1991-09-26 22:00:00+00:00,1.9277548285545931,1.92,1.4696600000000002,0.013400000000000079
1991-09-29 22:00:00+00:00,1.9187895164670468,1.935,1.4834200000000002,0.013759999999999994
1991-09-30 22:00:00+00:00,1.928358538253305,1.907,1.49716,0.013739999999999863
1991-10-01 22:00:00+00:00,1.9511458562276904,1.894,1.51068,0.013519999999999976
1991-10-02 22:00:00+00:00,1.9323940973470632,1.891,1.5241799999999999,0.013499999999999845
1991-10-03 22:00:00+00:00,1.9397559354989147,1.904,1.5373600000000003,0.013180000000000414
1991-10-06 22:00:00+00:00,1.9144338397243814,1.913,1.5508600000000001,0.013499999999999845
1991-10-07 22:00:00+00:00,1.90907135250754,1.943,1.5652199999999998,0.014359999999999706
1991-10-08 22:00:00+00:00,1.9359732505136167,1.97,1.5798599999999998,0.014639999999999986
1991-10-09 22:00:00+00:00,1.9431894982960176,1.958,1.59382,0.013960000000000194
1991-10-10 22:00:00+00:00,1.9329600594919694,1.955,1.6078199999999998,0.01399999999999979
1991-10-13 22:00:00+00:00,1.943310124374678,1.982,1.62226,0.01444000000000023
1991-10-14 22:00:00+00:00,1.963115131691805,1.986,1.63648,0.0142199999999999
